HERO,A,STR,STR+,AGI,AGI+,INT,INT+,T,T+,LVL,MOV,AR,DMG(MIN),DMG(MAX),RG,BAT,ATKPT,ATKBS,VS-D,VS-N,TR,COL,HP/S,L,id,role
Abaddon,Strength,23,2.7,17,1.5,21,2.0,61,6.2,209.8,310,1.38,55,65,150,1.7,0.56,0.41,1800,800,0.6,24,0.25,{{{23}}},102,"Melee,Support,Carry,Durable"
Alchemist,Strength,25,1.8,11,1.2,25,1.8,61,4.8,176.2,295,1.54,49,58,150,1.7,0.35,0.65,1800,800,0.6,24,0.25,{{{23}}},73,"Melee,Carry,Support,Durable,Disabler,Initiator,Nuker"
Ancient Apparition,Intelligence,18,1.4,20,2.2,25,2.6,63,6.2,211.8,295,1.8,44,54,600,1.7,0.45,0.3,1800,800,0.6,24,0.25,{{{23}}},68,"Ranged,Support,Disabler,Nuker"
Anti-Mage,Agility,22,1.2,22,2.8,15,1.8,59,5.8,198.2,315,2.08,49,53,150,1.45,0.3,0.6,1800,800,0.5,24,0.25,{{{23}}},1,"Melee,Carry,Escaper,Nuker"
Arc Warden,Agility,24,2.3,15,1.8,24,2.6,63,6.7,223.8,285,0.1,44,54,625,1.7,0.3,0.7,1800,800,0.4,24,0.25,{{{23}}},113,"Ranged,Carry,Escaper,Nuker"
Axe,Strength,25,2.5,20,2.2,18,1.6,63,6.3,214.2,290,1.8,49,53,150,1.7,0.5,0.5,1800,800,0.6,24,3.0,{{{23}}},2,"Melee,Initiator,Durable,Disabler,Jungler"
Bane,Intelligence,22,2.1,22,2.1,22,2.1,66,6.3,217.2,310,4.08,55,61,400,1.7,0.3,0.7,1800,800,0.6,24,0.25,{{{23}}},3,"Ranged,Support,Disabler,Nuker,Durable"
Batrider,Intelligence,23,2.4,15,1.5,24,2.5,62,6.4,215.6,290,2.1,38,42,375,1.7,0.3,0.54,1200,800,1.0,24,2.0,{{{23}}},65,"Ranged,Initiator,Jungler,Disabler,Escaper"
Beastmaster,Strength,23,2.2,18,1.6,16,1.9,57,5.7,193.8,310,4.52,64,68,150,1.7,0.3,0.7,1800,800,0.4,24,0.25,{{{23}}},38,"Melee,Initiator,Disabler,Durable,Nuker"
Bloodseeker,Agility,23,2.4,24,3.0,18,1.7,65,7.1,235.4,290,3.36,53,59,150,1.7,0.43,0.74,1800,800,0.5,24,0.25,{{{23}}},4,"Melee,Carry,Disabler,Jungler,Nuker,Initiator"
