data_src, model, feature, duration, train_acc, train_auc, test_acc, test_auc, valid_acc, valid_auc
       lol,            lR_C1e-05, champion_one_team_sparse,0,0.53714,0.55387,0.54003,0.55488,0.53422,0.55086
       lol,           lR_C0.0001, champion_one_team_sparse,0,0.54109,0.55867,0.54401,0.55857,0.53831,0.55501
       lol,            lR_C0.001, champion_one_team_sparse,0,0.54514,0.56491,0.54375,0.56252,0.54163,0.55995
       lol,             lR_C0.01, champion_one_team_sparse,0,0.54658,0.56678,0.54501,0.56321,0.54246,0.56131
       lol,              lR_C0.1, champion_one_team_sparse,0,0.54679,0.56691,0.54496,0.56315,0.5433,0.56139
       lol,              lR_C1.0, champion_one_team_sparse,0,0.5467,0.56691,0.54503,0.56313,0.54333,0.56138
       lol,             lR_C10.0, champion_one_team_sparse,0,0.54668,0.56691,0.54495,0.56312,0.54343,0.56138
       lol,            lR_C100.0, champion_one_team_sparse,0,0.54668,0.56691,0.54493,0.56312,0.54342,0.56138
       lol,           lR_C1000.0, champion_one_team_sparse,0,0.54668,0.56691,0.54493,0.56312,0.54342,0.56138
       lol,          lR_C10000.0, champion_one_team_sparse,0,0.54668,0.56691,0.54493,0.56312,0.54342,0.56138
       lol,       NN_hiddenunit3, champion_one_team_sparse,7.33,0.54974,0.57059,0.54332,0.55872,0.54249,0.55798
       lol,       NN_hiddenunit5, champion_one_team_sparse,10.33,0.55431,0.57646,0.5417,0.55803,0.53962,0.55586
       lol,       NN_hiddenunit7, champion_one_team_sparse,12,0.55732,0.58167,0.53822,0.5525,0.53583,0.55183
       lol,       NN_hiddenunit9, champion_one_team_sparse,14,0.56122,0.58624,0.53645,0.55065,0.53717,0.55153
       lol,      NN_hiddenunit11, champion_one_team_sparse,16.33,0.5645,0.59071,0.53399,0.54823,0.53735,0.55068
       lol, gbdt_ntree50_lr0.1_md3_msl1, champion_one_team_sparse,9.67,0.54108,0.56089,0.53528,0.54889,0.53367,0.54623
       lol, gbdt_ntree50_lr0.05_md3_msl1, champion_one_team_sparse,10.67,0.5323,0.55099,0.53024,0.54381,0.52761,0.53997
       lol, gbdt_ntree50_lr0.02_md3_msl1, champion_one_team_sparse,11,0.52483,0.53883,0.52465,0.53373,0.52238,0.5341
       lol, gbdt_ntree50_lr0.01_md3_msl1, champion_one_team_sparse,11,0.52071,0.53269,0.52079,0.52824,0.51921,0.52881
       lol, gbdt_ntree50_lr0.1_md6_msl1, champion_one_team_sparse,27,0.57346,0.6106,0.53812,0.55096,0.53502,0.54858
       lol, gbdt_ntree50_lr0.05_md6_msl1, champion_one_team_sparse,23,0.5579,0.58894,0.53624,0.54858,0.53242,0.54405
       lol, gbdt_ntree50_lr0.02_md6_msl1, champion_one_team_sparse,24.33,0.53996,0.56425,0.52829,0.54043,0.52561,0.53785
       lol, gbdt_ntree50_lr0.01_md6_msl1, champion_one_team_sparse,24.67,0.53112,0.54842,0.5251,0.53359,0.52274,0.53339
       lol, gbdt_ntree50_lr0.1_md10_msl1, champion_one_team_sparse,60.67,0.65615,0.72951,0.53726,0.54801,0.5321,0.54367
       lol, gbdt_ntree50_lr0.05_md10_msl1, champion_one_team_sparse,62.33,0.62032,0.68177,0.53601,0.54708,0.53215,0.54283
       lol, gbdt_ntree50_lr0.02_md10_msl1, champion_one_team_sparse,64.33,0.57883,0.6273,0.52957,0.54081,0.52678,0.53899
       lol, gbdt_ntree50_lr0.01_md10_msl1, champion_one_team_sparse,60.33,0.55401,0.59005,0.52581,0.53765,0.52461,0.5353
       lol, gbdt_ntree50_lr0.1_md3_msl3, champion_one_team_sparse,9.67,0.54106,0.56087,0.53533,0.54895,0.53367,0.54624
       lol, gbdt_ntree50_lr0.05_md3_msl3, champion_one_team_sparse,9.33,0.53229,0.55096,0.53024,0.54381,0.52762,0.54
       lol, gbdt_ntree50_lr0.02_md3_msl3, champion_one_team_sparse,9.33,0.52481,0.5388,0.52465,0.53373,0.5224,0.53412
       lol, gbdt_ntree50_lr0.01_md3_msl3, champion_one_team_sparse,9.33,0.5207,0.53267,0.52079,0.52824,0.51922,0.52884
       lol, gbdt_ntree50_lr0.1_md6_msl3, champion_one_team_sparse,22.67,0.5728,0.60807,0.53998,0.55241,0.53487,0.54886
       lol, gbdt_ntree50_lr0.05_md6_msl3, champion_one_team_sparse,23.33,0.55742,0.58734,0.53713,0.54875,0.53182,0.54398
