data_src, model, feature, duration, train_acc, train_auc, test_acc, test_auc
     dota, GBDT_max_depth3_l2_reg20_eta0.1_rounds12, one_way_two_teams,10,0.58374,0.61623,0.58366,0.61604
     dota, GBDT_max_depth6_l2_reg20_eta0.1_rounds12, one_way_two_teams,15.7,0.59708,0.63015,0.59689,0.62954
     dota, GBDT_max_depth3_l2_reg20_eta0.1_rounds200, one_way_two_teams,106.2,0.62885,0.67599,0.62855,0.67534
     dota, GBDT_max_depth6_l2_reg20_eta0.1_rounds200, one_way_two_teams,193.2,0.64276,0.69434,0.63998,0.69034
,,,,,,,
     dota,        MajorityClass, one_way_one_team_dense, 0.00, 0.53747, 0.50000, 0.53779, 0.50000
,,,,,,,
     dota, NN_hiddenunit1000, one_way_one_team_sparse,21645,0.68941,0.75571,0.63873,0.68798
     dota,      NN_hiddenunit80, one_way_one_team_dense, 516.00, 0.65288, 0.70762, 0.64812, 0.70106
     dota, NN_hiddenunit100, one_way_one_team_dense,579.9,0.65464,0.71014,0.64898,0.70222
     dota,     NN_hiddenunit120, one_way_one_team_dense, 647.70, 0.65667, 0.71270, 0.64913, 0.70289
     dota, NN_hiddenunit1000,one_way_one_team_dense,9000,0.68984,0.75641,0.63876,0.68757
,,,,,,,
     dota, FM_order2_rank20_l2regw0_epoch10, one_way_two_teams_sparse,111.9,0.65161,0.70618,0.65014,0.70398
     dota, FM_order2_rank200_l2regw0_epoch10, one_way_two_teams_sparse,349.6,0.65789,0.71443,0.65119,0.706
     dota, FM_order2_rank200_l2regw0_epoch50, one_way_two_teams_sparse,1706.3,0.65864,0.71551,0.65177,0.70649
     dota, FM_order2_rank20_l2regw0_epoch10, one_way_one_team_sparse,107.7,0.63944,0.68835,0.63934,0.68802
     dota, FM_order2_rank200_l2regw0_epoch10, one_way_one_team_sparse,343.6,0.63901,0.6878,0.63884,0.68739
     dota, FM_order3_rank4_l2regw0.001_epoch10, one_way_two_teams_sparse,71.7,0.64469,0.69653,0.64432,0.6959
     dota, FM_order3_rank4_l2regw0.01_epoch10, one_way_two_teams_sparse,71.5,0.64471,0.69651,0.64419,0.69597
     dota, FM_order3_rank4_l2regw0.1_epoch10, one_way_two_teams_sparse,72.8,0.64468,0.69653,0.6444,0.69615
     dota, FM_order3_rank4_l2regw1.0_epoch10, one_way_two_teams_sparse,70.6,0.64465,0.6965,0.64417,0.69573
     dota, FM_order3_rank4_l2regw10.0_epoch10, one_way_two_teams_sparse,70.9,0.64468,0.6966,0.64395,0.69542
     dota, FM_order3_rank4_l2regw100.0_epoch10, one_way_two_teams_sparse,69.8,0.64465,0.69643,0.64457,0.69629
     dota, FM_order3_rank16_l2regw0.001_epoch10, one_way_two_teams_sparse,130.1,0.65054,0.70467,0.64896,0.70258
     dota, FM_order3_rank16_l2regw0.01_epoch10, one_way_two_teams_sparse,130.2,0.65052,0.70468,0.64865,0.70199
     dota, FM_order3_rank16_l2regw0.1_epoch10, one_way_two_teams_sparse,130.8,0.6505,0.70464,0.6489,0.70262
     dota, FM_order3_rank16_l2regw1.0_epoch10, one_way_two_teams_sparse,128.7,0.65049,0.70467,0.64881,0.70239
     dota, FM_order3_rank16_l2regw10.0_epoch10, one_way_two_teams_sparse,123,0.65049,0.70463,0.64894,0.7027
     dota, FM_order3_rank16_l2regw100.0_epoch10, one_way_two_teams_sparse,123,0.65051,0.70461,0.64917,0.7028
     dota, FM_order3_rank50_l2regw0.001_epoch10, one_way_two_teams_sparse,196.7,0.65596,0.71209,0.65195,0.70654
     dota, FM_order3_rank50_l2regw0.01_epoch10, one_way_two_teams_sparse,196.1,0.65599,0.71208,0.65204,0.70683
     dota, FM_order3_rank50_l2regw0.1_epoch10, one_way_two_teams_sparse,197,0.65603,0.7121,0.65172,0.70655
     dota, FM_order3_rank50_l2regw1.0_epoch10, one_way_two_teams_sparse,198.5,0.65599,0.71207,0.65184,0.70661
     dota, FM_order3_rank50_l2regw10.0_epoch10, one_way_two_teams_sparse,193.1,0.65603,0.71212,0.65136,0.70593
     dota, FM_order3_rank50_l2regw100.0_epoch10, one_way_two_teams_sparse,193.1,0.65607,0.71209,0.65149,0.70631
     dota, FM_order3_rank100_l2regw0.001_epoch10, one_way_two_teams_sparse,340.2,0.65797,0.71464,0.65225,0.70686
     dota, FM_order3_rank100_l2regw0.01_epoch10, one_way_two_teams_sparse,343.4,0.65794,0.71456,0.65245,0.70713
     dota, FM_order3_rank100_l2regw0.1_epoch10, one_way_two_teams_sparse,338.5,0.65789,0.71455,0.65189,0.70647
     dota, FM_order3_rank100_l2regw1.0_epoch10, one_way_two_teams_sparse,340.5,0.65798,0.71464,0.65217,0.70685
     dota, FM_order3_rank100_l2regw10.0_epoch10, one_way_two_teams_sparse,333.2,0.65799,0.71463,0.65195,0.70649
     dota, FM_order3_rank100_l2regw100.0_epoch10, one_way_two_teams_sparse,331.3,0.65804,0.71467,0.65182,0.7065
     dota, FM_order3_rank200_l2regw100.0_epoch10, one_way_two_teams_sparse,570.7,0.65765,0.71419,0.65144,0.70603
     dota, FM_order3_rank400_l2regw1.0_epoch10, one_way_two_teams_sparse,1121.9,0.65702,0.71328,0.65076,0.70517
,,,,,,,
      dota,            lR_C1e-05, one_way_one_team_dense,7,0.62841,0.67849,0.62863,0.67854
      dota,           lR_C0.0001, one_way_one_team_dense,9.6,0.63464,0.68649,0.63489,0.6866
      dota,            lR_C0.001, one_way_one_team_dense,13,0.63543,0.68745,0.63565,0.68759
      dota,             lR_C0.01, one_way_one_team_dense,13.3,0.63554,0.68751,0.63576,0.68765
      dota,              lR_C0.1, one_way_one_team_dense,16.7,0.63556,0.68752,0.63578,0.68767
      dota,              lR_C1.0, one_way_one_team_dense,15.6,0.63556,0.68752,0.63578,0.68767
      dota,             lR_C10.0, one_way_one_team_dense,16,0.63556,0.68752,0.63578,0.68767
      dota,            lR_C100.0, one_way_one_team_dense,15.8,0.63556,0.68752,0.63578,0.68767
      dota,           lR_C1000.0, one_way_one_team_dense,16.2,0.63556,0.68752,0.63578,0.68767
      dota,          lR_C10000.0, one_way_one_team_dense,16.1,0.63556,0.68752,0.63578,0.68767
