data_src, model, feature, duration, train_acc, train_auc, test_acc, test_auc
     dota2,            lR_C1e-05, one_way_one_team_dense,0,0.59001,0.62642,0.59056,0.62735
     dota2,           lR_C0.0001, one_way_one_team_dense,1,0.59737,0.63638,0.5979,0.63731
     dota2,            lR_C0.001, one_way_one_team_dense,1,0.60151,0.64191,0.60228,0.64276
     dota2,             lR_C0.01, one_way_one_team_dense,1.1,0.60202,0.64242,0.60272,0.64324
     dota2,              lR_C0.1, one_way_one_team_dense,1.1,0.60201,0.64246,0.60258,0.64328
     dota2,              lR_C1.0, one_way_one_team_dense,1.9,0.60202,0.64247,0.60262,0.64328
     dota2,             lR_C10.0, one_way_one_team_dense,1.4,0.60202,0.64247,0.60262,0.64328
     dota2,            lR_C100.0, one_way_one_team_dense,1.5,0.60202,0.64247,0.60263,0.64328
     dota2,           lR_C1000.0, one_way_one_team_dense,1.6,0.60202,0.64247,0.60263,0.64328
     dota2,          lR_C10000.0, one_way_one_team_dense,1.5,0.60202,0.64247,0.60263,0.64328
     dota2, FM_order2_rank4_l2regw0.001_epoch10, one_way_two_teams_sparse,8.1,0.60334,0.6437,0.60127,0.64091
     dota2, FM_order2_rank4_l2regw0.01_epoch10, one_way_two_teams_sparse,8,0.60381,0.64407,0.60189,0.64169
     dota2, FM_order2_rank4_l2regw0.1_epoch10, one_way_two_teams_sparse,8.2,0.60359,0.64377,0.6011,0.64063
     dota2, FM_order2_rank4_l2regw1.0_epoch10, one_way_two_teams_sparse,8.2,0.60359,0.64387,0.60213,0.64246
     dota2, FM_order2_rank4_l2regw10.0_epoch10, one_way_two_teams_sparse,8,0.60317,0.64359,0.60166,0.64172
     dota2, FM_order2_rank4_l2regw100.0_epoch10, one_way_two_teams_sparse,8,0.6033,0.64356,0.60148,0.64183
     dota2, FM_order2_rank16_l2regw0.001_epoch10, one_way_two_teams_sparse,12,0.60869,0.65099,0.6053,0.64534
     dota2, FM_order2_rank16_l2regw0.01_epoch10, one_way_two_teams_sparse,12.1,0.60862,0.65094,0.60592,0.64668
