data_src, model, feature, duration, train_acc, train_auc, test_acc, test_auc
,,,,,,,
       lol, FM_order2_rank5_l2regw0_epoch10, champion_two_teams_sparse,9.1,0.5546,0.57851,0.54169,0.55963
       lol, FM_order2_rank200_l2regw0_epoch10, champion_two_teams_sparse,49,0.64468,0.70174,0.52834,0.54122
       lol, FM_order2_rank10_l2regw0_epoch10, champion_two_teams_sparse,11.6,0.56401,0.59091,0.54078,0.55731
,,,,,,,
,,,,,,,
       lol, FM_order1_rank2_l2regw1e-05_epoch10, champion_two_teams_sparse,2,0.54747,0.56784,0.54218,0.56042
       lol, FM_order1_rank2_l2regw0.0001_epoch10, champion_two_teams_sparse,2,0.54731,0.56757,0.54334,0.56284
       lol, FM_order1_rank2_l2regw0.001_epoch10, champion_two_teams_sparse,2,0.54726,0.56777,0.54275,0.56103
       lol, FM_order1_rank2_l2regw0.01_epoch10, champion_two_teams_sparse,2.1,0.54717,0.56762,0.5435,0.56192
       lol, FM_order1_rank2_l2regw0.1_epoch10, champion_two_teams_sparse,2,0.54725,0.56773,0.54274,0.56115
       lol, FM_order1_rank2_l2regw1.0_epoch10, champion_two_teams_sparse,2,0.54735,0.56765,0.54315,0.56197
       lol, FM_order1_rank2_l2regw10.0_epoch10, champion_two_teams_sparse,2,0.54718,0.5677,0.54388,0.56167
       lol, FM_order1_rank2_l2regw100.0_epoch10, champion_two_teams_sparse,2.1,0.54734,0.56782,0.54226,0.56026
       lol, FM_order1_rank2_l2regw1000.0_epoch10, champion_two_teams_sparse,2,0.54759,0.56784,0.54266,0.56059
       lol, FM_order1_rank2_l2regw10000.0_epoch10, champion_two_teams_sparse,2,0.54759,0.56743,0.54218,0.56096
       lol, FM_order1_rank2_l2regw1e-05_epoch10, summoner_two_teams_sparse,7,0.88357,0.95439,0.51044,0.51394
       lol, FM_order1_rank2_l2regw0.0001_epoch10, summoner_two_teams_sparse,7.1,0.88358,0.95439,0.51127,0.51415
       lol, FM_order1_rank2_l2regw0.001_epoch10, summoner_two_teams_sparse,7,0.88384,0.95449,0.51105,0.5153
       lol, FM_order1_rank2_l2regw0.01_epoch10, summoner_two_teams_sparse,7.1,0.8837,0.9544,0.51059,0.5141
       lol, FM_order1_rank2_l2regw0.1_epoch10, summoner_two_teams_sparse,7.2,0.88344,0.95432,0.51155,0.5163
       lol, FM_order1_rank2_l2regw1.0_epoch10, summoner_two_teams_sparse,7.1,0.8837,0.95438,0.51197,0.51459
       lol, FM_order1_rank2_l2regw10.0_epoch10, summoner_two_teams_sparse,7,0.88353,0.9544,0.50984,0.51355
       lol, FM_order1_rank2_l2regw100.0_epoch10, summoner_two_teams_sparse,7.1,0.88363,0.95441,0.51074,0.51534
       lol, FM_order1_rank2_l2regw1000.0_epoch10, summoner_two_teams_sparse,7.2,0.88396,0.9544,0.5097,0.51419
       lol, FM_order1_rank2_l2regw10000.0_epoch10, summoner_two_teams_sparse,7.1,0.88377,0.95442,0.51087,0.51487
       lol, FM_order1_rank2_l2regw1e-05_epoch10, champion_summoner_one_team_sparse,5.2,0.79786,0.88134,0.53533,0.55017
       lol, FM_order1_rank2_l2regw0.0001_epoch10, champion_summoner_one_team_sparse,5,0.79783,0.88117,0.53511,0.55005
       lol, FM_order1_rank2_l2regw0.001_epoch10, champion_summoner_one_team_sparse,5,0.79785,0.88128,0.53632,0.55247
       lol, FM_order1_rank2_l2regw0.01_epoch10, champion_summoner_one_team_sparse,5,0.79748,0.88104,0.53508,0.55165
       lol, FM_order1_rank2_l2regw0.1_epoch10, champion_summoner_one_team_sparse,5,0.79794,0.88129,0.53716,0.55227
       lol, FM_order1_rank2_l2regw1.0_epoch10, champion_summoner_one_team_sparse,5,0.79802,0.88117,0.5349,0.55052
       lol, FM_order1_rank2_l2regw10.0_epoch10, champion_summoner_one_team_sparse,5,0.79767,0.8812,0.53576,0.55186
       lol, FM_order1_rank2_l2regw100.0_epoch10, champion_summoner_one_team_sparse,5,0.79775,0.8812,0.53645,0.55354
       lol, FM_order1_rank2_l2regw1000.0_epoch10, champion_summoner_one_team_sparse,5,0.79795,0.88129,0.53659,0.55299
       lol, FM_order1_rank2_l2regw10000.0_epoch10, champion_summoner_one_team_sparse,5,0.79818,0.88133,0.53774,0.55289
       lol, FM_order1_rank2_l2regw1e-05_epoch10, champion_one_team_sparse,2.2,0.54596,0.56602,0.5434,0.56224
       lol, FM_order1_rank2_l2regw0.0001_epoch10, champion_one_team_sparse,2,0.54607,0.56616,0.54202,0.56111
       lol, FM_order1_rank2_l2regw0.001_epoch10, champion_one_team_sparse,2,0.5458,0.56565,0.54561,0.5654
       lol, FM_order1_rank2_l2regw0.01_epoch10, champion_one_team_sparse,2,0.54614,0.56618,0.54159,0.56116
       lol, FM_order1_rank2_l2regw0.1_epoch10, champion_one_team_sparse,2,0.54563,0.56573,0.54566,0.56502
       lol, FM_order1_rank2_l2regw1.0_epoch10, champion_one_team_sparse,2,0.54596,0.56592,0.54403,0.56332
       lol, FM_order1_rank2_l2regw10.0_epoch10, champion_one_team_sparse,2,0.54613,0.56608,0.54154,0.56146
       lol, FM_order1_rank2_l2regw100.0_epoch10, champion_one_team_sparse,2,0.54592,0.56598,0.54383,0.56274
       lol, FM_order1_rank2_l2regw1000.0_epoch10, champion_one_team_sparse,2,0.54578,0.56581,0.54382,0.56321
       lol, FM_order1_rank2_l2regw10000.0_epoch10, champion_one_team_sparse,2,0.54479,0.56412,0.54239,0.56096
       lol, FM_order1_rank2_l2regw1e-05_epoch10, summoner_one_team_sparse,4.1,0.81411,0.89741,0.51228,0.51991
       lol, FM_order1_rank2_l2regw0.0001_epoch10, summoner_one_team_sparse,4,0.81403,0.89732,0.5155,0.52317
       lol, FM_order1_rank2_l2regw0.001_epoch10, summoner_one_team_sparse,4.1,0.81414,0.8974,0.51271,0.52003
       lol, FM_order1_rank2_l2regw0.01_epoch10, summoner_one_team_sparse,4,0.81456,0.89759,0.51374,0.52117
       lol, FM_order1_rank2_l2regw0.1_epoch10, summoner_one_team_sparse,4,0.81425,0.89751,0.51256,0.52091
       lol, FM_order1_rank2_l2regw1.0_epoch10, summoner_one_team_sparse,4,0.81413,0.89745,0.51306,0.51939
       lol, FM_order1_rank2_l2regw10.0_epoch10, summoner_one_team_sparse,4,0.81421,0.89745,0.5149,0.52225
       lol, FM_order1_rank2_l2regw100.0_epoch10, summoner_one_team_sparse,4,0.8144,0.89752,0.51434,0.52118
       lol, FM_order1_rank2_l2regw1000.0_epoch10, summoner_one_team_sparse,4.1,0.8142,0.89752,0.51343,0.51998
       lol, FM_order1_rank2_l2regw10000.0_epoch10, summoner_one_team_sparse,4,0.81412,0.89734,0.51295,0.52066
,,,,,,,
,,,,,,,
,,,,,,,
       lol,            lR_C1e-05, champion_one_team_sparse,0,0.53736,0.55353,0.53741,0.55357
       lol,           lR_C0.0001, champion_one_team_sparse,0,0.54115,0.55857,0.54149,0.55841
       lol,            lR_C0.001, champion_one_team_sparse,0,0.54463,0.56456,0.5429,0.56336
       lol,             lR_C0.01, champion_one_team_sparse,0,0.54592,0.56622,0.54377,0.56439
       lol,              lR_C0.1, champion_one_team_sparse,0,0.54618,0.56632,0.54406,0.5644
       lol,              lR_C1.0, champion_one_team_sparse,0,0.54628,0.56632,0.54398,0.56439
       lol,             lR_C10.0, champion_one_team_sparse,0,0.54627,0.56632,0.54399,0.56439
       lol,            lR_C100.0, champion_one_team_sparse,0,0.54628,0.56632,0.54399,0.56439
       lol,           lR_C1000.0, champion_one_team_sparse,0,0.54627,0.56632,0.54399,0.56439
       lol,            lR_C1e-05, summoner_one_team_sparse,0,0.73643,0.80372,0.51122,0.51708
       lol,           lR_C0.0001, summoner_one_team_sparse,0,0.73643,0.80372,0.51122,0.51708
       lol,            lR_C0.001, summoner_one_team_sparse,0,0.73645,0.80377,0.51125,0.51708
       lol,             lR_C0.01, summoner_one_team_sparse,0,0.74432,0.81591,0.51152,0.51824
       lol,              lR_C0.1, summoner_one_team_sparse,0,0.79625,0.87531,0.51518,0.5241
       lol,              lR_C1.0, summoner_one_team_sparse,1.9,0.88618,0.95445,0.5244,0.53537
       lol,             lR_C10.0, summoner_one_team_sparse,4,0.95662,0.99158,0.53163,0.54549
       lol,            lR_C100.0, summoner_one_team_sparse,13.5,0.98772,0.99894,0.53284,0.54671
       lol,           lR_C1000.0, summoner_one_team_sparse,61.4,0.99524,0.99976,0.53042,0.5435
