data_src, model, feature, duration, train_acc, train_auc, test_acc, test_auc
      lol2,       NN_hiddenunit5, one_way_one_team_dense,30.3,0.54235,0.56024,0.54207,0.55939
      lol2,      NN_hiddenunit10, one_way_one_team_dense,37,0.54332,0.56159,0.54117,0.55849
      lol2,       NN_hiddenunit1, one_way_one_team_dense,34.4,0.54182,0.55948,0.54161,0.55892
      lol2,       NN_hiddenunit2, one_way_one_team_dense,25.9,0.5417,0.5596,0.54145,0.5591
      lol2,       NN_hiddenunit3, one_way_one_team_dense,29.2,0.54207,0.55993,0.54164,0.55869
      lol2,       NN_hiddenunit4, one_way_one_team_dense,28.1,0.54222,0.56014,0.54175,0.55946
      lol2,      NN_hiddenunit15, one_way_one_team_dense,44.9,0.54407,0.56264,0.54098,0.55803
      lol2,      NN_hiddenunit20, one_way_one_team_dense,49,0.54483,0.56366,0.54097,0.55818
      lol2,      NN_hiddenunit25, one_way_one_team_dense,63.5,0.54587,0.56492,0.54077,0.55804
      lol2,      NN_hiddenunit30, one_way_one_team_dense,78.2,0.54707,0.5665,0.54076,0.55778
      lol2,      NN_hiddenunit40, one_way_one_team_dense,107.1,0.54922,0.56976,0.54039,0.55716
      lol2,      NN_hiddenunit50, one_way_one_team_dense,228.8,0.55146,0.5728,0.54002,0.55677
      lol2,            lR_C1e-05, one_way_one_team_dense,6,0.5378,0.55412,0.5379,0.55425
      lol2,           lR_C0.0001, one_way_one_team_dense,8,0.54126,0.55872,0.54135,0.55886
      lol2,            lR_C0.001, one_way_one_team_dense,9.9,0.5422,0.56002,0.5424,0.56013
      lol2,             lR_C0.01, one_way_one_team_dense,10.7,0.54229,0.5601,0.54243,0.56021
      lol2,              lR_C0.1, one_way_one_team_dense,11.8,0.54229,0.56011,0.5424,0.56021
      lol2,              lR_C1.0, one_way_one_team_dense,11.8,0.54229,0.56011,0.54241,0.56021
      lol2,             lR_C10.0, one_way_one_team_dense,11.8,0.54229,0.56011,0.54241,0.56021
      lol2,            lR_C100.0, one_way_one_team_dense,11.8,0.54229,0.56011,0.54241,0.56021
      lol2,           lR_C1000.0, one_way_one_team_dense,12.6,0.54229,0.56011,0.54241,0.56021
      lol2,          lR_C10000.0, one_way_one_team_dense,11.8,0.54229,0.56011,0.54241,0.56021
