data_src, model, feature, duration, train_acc, train_auc, test_acc, test_auc, valid_acc, valid_auc
lol,            lR_C1e-05, champion_summoner_interact_one_team_sparse,4,0.54127,0.55974,0.5408,0.55526,0.53437,0.55115
lol,           lR_C0.0001, champion_summoner_interact_one_team_sparse,5,0.5475,0.56775,0.5443,0.55916,0.53839,0.55546
lol,            lR_C0.001, champion_summoner_interact_one_team_sparse,9,0.56912,0.59858,0.54537,0.56461,0.54275,0.56162
lol,             lR_C0.01, champion_summoner_interact_one_team_sparse,20,0.69689,0.76731,0.55026,0.57178,0.54603,0.56776
lol,              lR_C0.1, champion_summoner_interact_one_team_sparse,55.33,0.93105,0.98095,0.5449,0.56404,0.54102,0.55957
lol,              lR_C1.0, champion_summoner_interact_one_team_sparse,114,0.99966,1,0.54,0.55772,0.53758,0.55443
lol,             lR_C10.0, champion_summoner_interact_one_team_sparse,188.67,1,1,0.53815,0.55546,0.53699,0.55268
lol,            lR_C100.0, champion_summoner_interact_one_team_sparse,249,1,1,0.53734,0.55449,0.5369,0.5519
lol,           lR_C1000.0, champion_summoner_interact_one_team_sparse,276.67,1,1,0.53702,0.55392,0.53685,0.55143
lol,          lR_C10000.0, champion_summoner_interact_one_team_sparse,282,1,1,0.53627,0.55338,0.53643,0.55087
lol,       NN_hiddenunit3, champion_summoner_interact_one_team_sparse, 48995.00, 0.99657, 0.99993, 0.52956, 0.53962, 0.53142, 0.54104
